rank,State,MedianWage
1,District of Columbia,71690
2,Massachusetts,48680
3,Alaska,48020
4,Connecticut,46920
5,Washington,46100
6,New York,44990
7,Maryland,44690
8,New Jersey,43600
9,Minnesota,42630
10,Hawaii,42480
11,California,42430
12,Colorado,42310
13,Rhode Island,42040
14,North Dakota,41340
15,Virginia,40820
16,Wyoming,40240
17,Illinois,39950
18,Delaware,39900
19,New Hampshire,39870
20,Vermont,39720
21,Oregon,39580
22,Pennsylvania,38450
23,Wisconsin,37970
24,Michigan,37620
25,Ohio,37360
26,Nebraska,37130
27,Maine,37120
28,Iowa,37100
29,Texas,37100
30,Arizona,37020
31,Utah,36790
32,Missouri,36040
33,Georgia,35950
34,Kansas,35950
35,North Carolina,35750
36,Indiana,35730
37,Nevada,35550
38,Montana,35080
39,Tennessee,34890
40,Kentucky,34650
41,Florida,34560
42,Oklahoma,34560
43,Idaho,34260
44,New Mexico,34120
45,South Carolina,33750
46,Alabama,33740
47,South Dakota,33450
48,Louisiana,33390
49,West Virginia,32640
50,Arkansas,31850
51,Mississippi,30580
52,Puerto Rico,20100
